,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
0, 2021-11-27,2022-04-18__, early December,mid April__, 08:45,16:45__
1, 2021-11-27,2022-04-18__, late November,mid April__, 09:00,17:00__
2, 2021-11-27,2022-04-18__, late November,late April__, 09:00,16:00__
3, 2021-12-04,2022-04-18__, late November,early May__, 09:00,16:45__
4, 2021-12-04,2022-04-18__, early December,early April__, 09:00,16:30__
5,,, early December,early April__, 09:00,17:00__
6,,,,,,
7,,, early December,early April__, 09:00,16:00__
8, 2021-12-04,2022-04-18__, early December,early April__, 09:00,17:00__
9,,,,,,
10,,,,,,
11,,,,, 09:00,17:00__
12,,,,,,
13,,, early December,early April__, 09:00,16:30__
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,, 09:00,16:30__
19,,,,,,
20,,,,, 09:00,17:00__
21, 2021-12-04,2022-04-03__, early December,early April__, 09:00,16:45__
22,,,,,,
23,,, early December,early April__, 08:30,17:00__
24,,, early December,early April__, 09:00,16:45__
25,,,,,,
26,,,,, 09:00,16:00__
27,,,,,,
28,,,,,,
29,,,,,,
30,,, Year-round__,, 09:00,22:00__
31,,,,,,
