,Name,Continent,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Youth,Children,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
0,Vail,America,2457,3433,234.0,57.0,84.0,93.0,,25.0,219,151,, 2021-11-19,2022-04-24, mid November,mid April, 08:30,16:00
1,Telluride,America,2659,3815,88.2,6.7,51.7,29.8,11.9,16.0,169,96,, 2021-11-25,2022-04-17, mid November,mid April, 09:00,16:00
2,Beaver Creek,America,2255,3488,150.0,28.5,64.5,57.0,25.0,18.0,218,150,, 2021-11-24,2022-04-18, mid November,mid April, 09:00,15:30
3,Snowmass,America,2473,3813,237.0,12.0,114.0,111.0,,16.0,199,139,, 2021-11-25,2022-04-17, late November,mid April, 08:30,15:30
4,Mammoth Mountain,America,2424,3369,89.8,18.4,48.5,22.9,100.0,25.0,209,171,84, 2021-11-12,2022-05-29, early November,early June, 08:30,16:00
5,Breckenridge,America,2926,3914,153.0,28.0,60.0,65.0,,24.0,199,129,, 2021-11-12,2022-05-29, early November,mid April, 08:30,16:00
6,Keystone,America,2835,3651,135.0,25.0,65.0,45.0,100.0,13.0,176,102,, 2021-10-30,2022-04-18, early November,mid April, 09:00,16:00
7,Palisades Tahoe,America,1890,2745,100.0,25.0,45.0,30.0,50.0,24.0,209,188,146, 2021-11-25,2022-05-15, mid November,late May, 09:00,16:00
8,Killington,America,355,1293,117.0,19.9,46.7,50.2,,19.0,165,127,, 2021-11-19,2022-05-29, late October,late May, 09:00,16:00
9,Sunday River,America,250,957,84.8,25.5,30.5,28.8,,16.0,119,89,75, 2021-11-20,2022-04-24, early November,late April, 08:30,16:00
10,Winter Park Resort,America,2743,3676,143.0,11.0,53.0,79.0,,22.0,164,119,, 2021-11-20,2022-04-24, mid November,late April, 09:00,16:00
11,Stowe,America,390,1116,70.0,20.0,42.0,8.0,,10.0,149,127,, 2021-11-25,2022-04-18, late November,early April, 08:00,16:00Limited opening times during the week
12,"Heavenly', 'of Heavenly",America,2001,3060,94.0,18.0,42.0,34.0,40.0,24.0,164,134,90, 2021-11-19,2022-04-24, mid November,mid April, 09:00,16:00
13,Park City,America,2080,3049,250.0,27.0,152.0,71.0,,39.0,133,69,, 2021-11-19,2022-04-18, mid November,early April, 09:00,16:00
14,Steamboat,America,2103,3221,165.0,25.0,95.0,45.0,,17.0,199,139,, 2021-12-03,2022-04-18, late November,mid April, 08:30,16:00
15,Big Sky Resort,America,2072,3398,250.0,55.0,69.0,126.0,100.0,31.0,194,117,, 2021-11-25,2022-04-24, late November,mid April, 09:00,16:00
16,Aspen Highlands,America,2451,3559,135.0,24.3,40.5,70.2,,5.0,199,139,, 2021-12-11,2022-04-10, mid December,mid April, 09:00,15:30
17,Alpine Meadows,America,2083,2632,100.0,25.0,40.0,35.0,50.0,11.0,209,188,146, 2021-11-20,2022-05-08, mid November,mid May, 09:00,16:00
18,Copper Mountain,America,2926,3767,126.0,30.0,40.0,56.0,,19.0,189,129,, 2021-11-13,2022-04-24, early November,late April, 08:30,16:00
19,[],America,2560,3215,116.0,29.0,46.4,40.6,,8.0,125,65,, 2021-11-20,2022-04-24, late November,mid April, 09:15,16:30
20,Buttermilk Mountain,America,2399,3018,34.0,11.9,13.3,8.8,,5.0,199,139,, 2021-12-11,2022-04-03, early December,early April, 09:00,15:30
21,Jackson Hole,America,1924,3185,116.0,16.0,50.0,50.0,,13.0,182,164,109, 2021-11-25,2022-04-18, early December,early April, 09:00,16:00
22,[],America,2003,2917,103.0,28.0,42.0,33.0,50.0,,,,, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:15
23,Crested Butte,America,2774,3620,121.0,31.4,69.0,20.6,,12.0,151,88,,,nan, late November,early April, 09:00,16:00
24,Powder Mountain,America,2101,2712,135.0,30.0,50.0,55.0,,9.0,99,55,, 2021-12-11,2022-04-18, depending on snow conditions,early April, 09:00,21:00
25,Northstar California Resort,America,1929,2624,97.0,25.0,45.0,27.0,100.0,14.0,170,139,100, 2021-11-20,2022-04-24, mid November,mid April, 09:00,16:00
26,Whiteface – Lake Placid,America,371,1340,37.0,12.8,15.9,8.3,,9.0,115,90,70, 2021-12-03,2022-04-17, late November,mid April, 08:30,16:00Limited opening times during the week
27,Mt. Bachelor,America,1737,2763,100.0,15.0,25.0,60.0,25.0,12.0,169,134,99, 2021-11-20,2022-05-29, late November,late May, 09:00,16:00
28,Yellowstone Club,America,2182,3005,80.0,30.0,30.0,20.0,20.0,,,,,,nan, late November,mid April, 09:00,16:00
29,Snowbird,America,2365,3353,103.0,27.0,38.0,38.0,,11.0,165,83,, 2021-11-20,2022-05-29, mid November,mid May, 09:00,16:00
30,Bald Mountain – Sun Valley,America,1752,2788,92.0,35.0,40.0,17.0,,13.0,165,84,,,nan,,early April,,nan
31,Schweitzer Mountain Resort,America,1206,1950,95.0,20.0,40.0,35.0,,9.0,95,50,, 2021-11-20,2022-04-18, late November,early June, 09:00,16:00
32,Arapahoe Basin,America,3286,3790,105.0,40.0,25.0,40.0,,7.0,158,49,39, 2021-10-30,2022-06-05, late October,late April, 09:00,16:00
