,Minima Altura,Maxima Altura
0,1004 m,2100 m
1, 1540 m,2388 m
2,1229 m,2865 m
3,1360 m,2872 m
4,830 m,2025 m
5,1236 m,2518 m
6,740 m,1860 m
7,1050 m,1456 m
8, 1410 m,2272 m
9,800 m,2000 m
10,1300 m,2100 m
11,820 m,2150 m
12,820 m,2150 m
13,1460 m,2390 m
14,640 m,1670 m
15,830 m,2096 m
16,1000 m,1820 m
17,1350 m,3340 m
18,896 m,1965 m
19, 1307 m,2510 m
20,880 m,1405 m
21,1580 m,2340 m
22,1009 m,2240 m
23,1250 m,2785 m
24,1121 m,3000 m
25,1189 m,2090 m
26,1140 m,2030 m
27,950 m,2400 m
28,1000 m,2300 m
29,768 m,3029 m
30,1020 m,2076 m
31,865 m,1432 m
32,1020 m,2105 m
33, 852 m,2504 m
34,1040 m,2125 m
35,1000 m,1530 m
36,580 m,2500 m
37,1404 m,2357 m
38,950 m,2304 m
39,1200 m,1850 m
40,1050 m,2510 m
41,889 m,1589 m
42, 665 m,2222 m
43,1400 m,3000 m
44,948 m,2120 m
45,1793 m,3082 m
46, 509 m,2227 m
47,1559 m,3142 m
48,796 m,2970 m
49,911 m,1215 m
50,620 m,1957 m
51,1200 m,2828 m
52,1300 m,2811 m
53,1720 m,3022 m
54,728 m,2015 m
55,600 m,2378 m
56,1550 m,3456 m
57, 1100 m,3230 m
58,630 m,2500 m
59,1562 m,3899 m
60,800 m,1900 m
61,700 m,2430 m
62,973 m,2275 m
63,1100 m,3018 m
64,1630 m,2313 m
65,740 m,1980 m
66,760 m,2000 m
67, 1260 m,2200 m
68, 1710 m,2640 m
69,860 m,2300 m
70,1444 m,2600 m
71,1207 m,3167 m
72,1200 m,2800 m
73, 1845 m,2869 m
74, 1669 m,2220 m
75,821 m,3330 m
76, 1280 m,3523 m
77,1003 m,3020 m
78,985 m,2254 m
79,1324 m,2550 m
80,1400 m,2205 m
81,1816 m,2798 m
82,1066 m,2220 m
83,1320 m,2485 m
84, 1020 m,2422 m
85,710 m,2050 m
86,1190 m,2513 m
87, 944 m,2320 m
88,1372 m,2789 m
89,415 m,1100 m
90,810 m,2844 m
91,1500 m,2610 m
92,1125 m,3330 m
93,1201 m,2310 m
94,697 m,2480 m
95, 1200 m,3226 m
96,600 m,2002 m
97,1446 m,3269 m
98,849 m,2033 m
99,850 m,2353 m
100,1540 m,2590 m
101,1000 m,2069 m
102,1697 m,3212 m
103,1000 m,2176 m
104,1797 m,3303 m
105,620 m,1450 m
106,1367 m,2340 m
107,380 m,1274 m
108,1212 m,3275 m
109,1130 m,2200 m
110,850 m,1571 m
111,745 m,1617 m
112,1600 m,2300 m
113,1000 m,2100 m
114,659 m,1604 m
115,1450 m,2450 m
116,1501 m,2251 m
117,1500 m,3250 m
118,195 m,1059 m
119,948 m,2011 m
120,1217 m,2828 m
121,1800 m,3573 m
122,1067 m,2505 m
123,1100 m,2620 m
124,1050 m,2500 m
125,943 m,2004 m
126,1190 m,2800 m
127,920 m,1967 m
128,291 m,492 m
129,200 m,718 m
130,600 m,2000 m
131,470 m,1135 m
132,178 m,1032 m
133,868 m,2118 m
134, 1300 m,1935 m
135,1938 m,2520 m
136,1430 m,2750 m
137,1250 m,2403 m
138,1400 m,2740 m
139,588 m,890 m
140,1650 m,2750 m
141,1616 m,2531 m
142, 1608 m,2576 m
143, 2685 m,3440 m
144,990 m,2560 m
145,1419 m,3111 m
146,1112 m,1923 m
147,1400 m,2525 m
148,572 m,872 m
149,860 m,2250 m
150,1040 m,1831 m
151,450 m,1060 m
152,1300 m,2800 m
153,1164 m,2437 m
154,1350 m,2400 m
155,1100 m,2407 m
156,973 m,1820 m
157,904 m,2000 m
158,1087 m,2055 m
159,1102 m,2418 m
160, 1055 m,2433 m
161,1050 m,2485 m
162,1050 m,2050 m
163,1570 m,2900 m
164,970 m,1591 m
165,1270 m,2030 m
166,950 m,1800 m
167,850 m,1800 m
168,220 m,500 m
169,650 m,2100 m
170,579 m,887 m
171,2011 m,3212 m
172,650 m,2054 m
173,1000 m,1980 m
174,2100 m,3282 m
175,850 m,1563 m
176,1900 m,3250 m
177,820 m,2060 m
178,420 m,750 m
179,1423 m,2300 m
180,1048 m,2180 m
181,1142 m,2602 m
182,822 m,1183 m
183,1095 m,2400 m
184,1130 m,1559 m
185, 1510 m,2927 m
186,950 m,2175 m
187,1040 m,2456 m
188,702 m,1235 m
189,1250 m,2500 m
190,2150 m,3113 m
191,1227 m,2833 m
192,1067 m,1743 m
193, 1609 m,2350 m
194, 1000 m,1900 m
195,1180 m,2690 m
196,1600 m,2222 m
197,894 m,1665 m
198,1800 m,2603 m
199,1030 m,2525 m
200, 1000 m,1911 m
201, 2108 m,3122 m
202, 1505 m,2625 m
203, 1550 m,2560 m
204,1500 m,2500 m
205,1550 m,2720 m
206,774 m,1123 m
207,866 m,1338 m
208,1301 m,2989 m
209, 1660 m,2278 m
210,1312 m,2800 m
211,1400 m,2250 m
212,1850 m,2725 m
213,1505 m,2630 m
214,1601 m,2502 m
215,700 m,1712 m
216,1200 m,2713 m
217,600 m,1800 m
218, 940 m,2509 m
219, 1600 m,2450 m
220,1444 m,2961 m
221,1230 m,2064 m
222,592 m,946 m
223,1720 m,2465 m
224,2091 m,3006 m
225,524 m,1257 m
226, 807 m,2085 m
227,1309 m,2141 m
228, 1597 m,2515 m
229,1900 m,2646 m
230,1484 m,2215 m
231,1600 m,2000 m
232,888 m,1448 m
233,1252 m,2765 m
234,1940 m,2625 m
235,740 m,2050 m
236,780 m,2212 m
237,550 m,1250 m
238, 1600 m,2558 m
239,1585 m,2650 m
240, 1380 m,2346 m
241,1000 m,2100 m
242,1224 m,2120 m
243,1407 m,2677 m
244,1550 m,2737 m
245,980 m,1580 m
246,1640 m,2800 m
247,888 m,2190 m
248,1482 m,2600 m
249,902 m,1834 m
250,1225 m,3012 m
251,992 m,2151 m
252,1322 m,3118 m
253,1113 m,1835 m
254,1454 m,2490 m
255,1070 m,1946 m
256,1408 m,2528 m
257,1619 m,2864 m
258,1174 m,1600 m
259,520 m,909 m
260,920 m,1800 m
261,810 m,1870 m
262,1412 m,2020 m
263,1500 m,2420 m
264,1057 m,2017 m
265,1350 m,2750 m
266,1162 m,2270 m
267,859 m,1372 m
268,1600 m,2400 m
269,439 m,789 m
270,150 m,531 m
271,914 m,1361 m
272,1497 m,2115 m
273,854 m,1900 m
274,828 m,2224 m
275,1000 m,1500 m
276,1266 m,2636 m
277,1500 m,2750 m
278, 1540 m,2740 m
279,1080 m,2300 m
280,1100 m,2350 m
281,1680 m,2500 m
282,1046 m,2060 m
283,1040 m,1785 m
284,60 m,110 m
285,1480 m,2550 m
286,420 m,920 m
287,680 m,910 m
288,800 m,1148 m
289,1035 m,1636 m
290,1010 m,1870 m
291,1300 m,1916 m
292,1650 m,2213 m
293,1550 m,2620 m
294,1080 m,2225 m
295,900 m,1976 m
296,862 m,1612 m
297,820 m,1450 m
298,763 m,1244 m
299,900 m,1463 m
300,443 m,1625 m
301,855 m,1456 m
302,841 m,1139 m
303,547 m,2142 m
304,1075 m,2001 m
305,1400 m,2450 m
306,1600 m,2520 m
307,1655 m,2980 m
308,1350 m,2450 m
309, 284 m,964 m
310,900 m,2262 m
311,1600 m,2376 m
312,1350 m,2500 m
313,1205 m,2755 m
314,1250 m,2205 m
315,1650 m,2504 m
316,1650 m,2504 m
317,1420 m,2035 m
318,1420 m,2500 m
319,876 m,1630 m
320,1160 m,1850 m
321,1286 m,2941 m
322,1200 m,1500 m
323,150 m,210 m
324,659 m,1024 m
325, 949 m,2256 m
326,1058 m,1500 m
327, 860 m,2256 m
328,710 m,900 m
329,1640 m,2260 m
330,585 m,1300 m
331, 1550 m,2948 m
332, 960 m,2172 m
333,476 m,900 m
334,82 m,122 m
335,630 m,820 m
336,985 m,1350 m
337,1722 m,2880 m
338,820 m,2000 m
339,1240 m,1892 m
340, 1340 m,1950 m
341,325 m,1327 m
342,1240 m,1966 m
343, 1730 m,2415 m
344,1500 m,2426 m
345,777 m,1774 m
346,1750 m,2500 m
347,619 m,1690 m
348,900 m,1107 m
349,1411 m,2610 m
350,1146 m,2204 m
351,2020 m,2751 m
352,1570 m,2460 m
353,1510 m,2291 m
354,931 m,2123 m
355, 1070 m,1593 m
356,1514 m,2236 m
357,1480 m,2400 m
358,828 m,1621 m
359,900 m,1970 m
360, 900 m,1680 m
361,1000 m,2000 m
362,430 m,1230 m
363,900 m,1800 m
364,1009 m,1965 m
365, 1341 m,2374 m
366,1600 m,2471 m
367,1040 m,1636 m
368,1650 m,2272 m
369,1400 m,2427 m
370,1655 m,2272 m
371,860 m,1276 m
372,1376 m,1840 m
373,578 m,838 m
374,754 m,1752 m
375, 1527 m,2353 m
376,1300 m,1850 m
377,1343 m,3016 m
378,1450 m,1971 m
379,1335 m,2700 m
380, 1465 m,2125 m
381,2350 m,3840 m
382,1745 m,2310 m
383,1367 m,2184 m
384,923 m,1610 m
385,1411 m,1916 m
386,1550 m,2200 m
387,1275 m,1900 m
388, 1250 m,1900 m
389,1200 m,2000 m
390,460 m,700 m
391, 2264 m,2700 m
392,1110 m,1820 m
393,1150 m,1821 m
394,770 m,2000 m
395, 1200 m,2001 m
396,1453 m,2270 m
397,1450 m,2140 m
398,1730 m,2307 m
399,1100 m,2100 m
400,1620 m,1926 m
401,1350 m,2400 m
402,1450 m,2450 m
403,1548 m,2135 m
404,630 m,1800 m
405,880 m,2073 m
406,1400 m,2100 m
407,1100 m,1608 m
408,1515 m,2246 m
409,180 m,1188 m
410,1650 m,2421 m
411,1505 m,2056 m
