,Minima Altura,Maxima Altura
0,['__2457 m,3433 m (']
1,['__2659 m,3815 m (']
2,['__2255 m,3488 m (']
3,['__2473 m,3813 m (']
4,['__2424 m,3369 m (']
5,['__2926 m,3914 m (']
6,['__2835 m,3651 m (']
7,['__1890 m,2745 m (']
8,['__355 m,1293 m (']
9,['__250 m,957 m (']
10,['__2743 m,3676 m (']
11,['__390 m,1116 m (']
12,['__ 2001 m,3060 m (']
13,['__2080 m,3049 m (']
14,['__2103 m,3221 m (']
15,['__2072 m,3398 m (']
16,['__2451 m,3559 m (']
17,['__2083 m,2632 m (']
18,['__2926 m,3767 m (']
19,['__2560 m,3215 m (']
20,['__2399 m,3018 m (']
21,['__1924 m,3185 m (']
22,['__2003 m,2917 m (']
23,['__2774 m,3620 m (']
24,['__2101 m,2712 m (']
25,['__1929 m,2624 m (']
26,['__371 m,1340 m (']
27,['__1737 m,2763 m (']
28,['__2182 m,3005 m (']
29,['__2365 m,3353 m (']
30,['__1752 m,2788 m (']
31,['__1206 m,1950 m (']
32,['__3286 m,3790 m (']
33,['__1378 m,2225 m (']
34,['__600 m,1181 m (']
35,['__1392 m,2078 m (']
36,['__2805 m,3795 m (']
37,['__2422 m,3418 m (']
38,['__2024 m,2698 m (']
39,['__1899 m,2402 m (']
40,['__1361 m,2078 m (']
41,['__1361 m,2078 m (']
42,['__3139 m,3628 m (']
43,['__452 m,1240 m (']
44,['__2591 m,3256 m (']
45,['__426 m,1286 m (']
46,['__348 m,1019 m (']
47,['__2680 m,3299 m (']
48,['__2668 m,3200 m (']
49,['__1070 m,1525 m (']
50,['__2098 m,2555 m (']
51,['__440 m,960 m (']
52,['__2434 m,3000 m (']
53,['__563 m,1175 m (']
54,['__2926 m,3328 m (']
55,['__488 m,945 m (']
56,['__2011 m,2590 m (']
57,['__2138 m,2870 m (']
58,['__585 m,1095 m (']
59,['__314 m,1112 m (']
60,['__1195 m,1760 m (']
61,['__70 m,840 m (']
62,['__2407 m,2957 m (']
63,['__1860 m,2682 m (']
64,['__304 m,1097 m (']
65,['__1767 m,2311 m (']
66,['__2377 m,2987 m (']
67,['__1341 m,2137 m (']
68,['__1950 m,2850 m (']
69,['__300 m,930 m (']
70,['__1478 m,2603 m (']
71,['__2926 m,3475 m (']
