,Minima Altura,Maxima Altura
0,__1500 m,2610 m
1,__1501 m,2251 m
2,__1616 m,2531 m
3,__2100 m,3282 m
4,__1505 m,2630 m
5,__1146 m,2204 m
6,__2020 m,2751 m
7,__1510 m,2291 m
8,__1514 m,2236 m
9,__1655 m,2272 m
10,__1745 m,2310 m
11,__1548 m,2135 m
12,__1650 m,2421 m
13,__1484 m,2036 m
14,__1650 m,2120 m
15,__1455 m,1840 m
16,__1640 m,2030 m
17,__1990 m,2368 m
18,__1860 m,2278 m
19,__1703 m,2174 m
20,__1650 m,2000 m
21,__1487 m,1950 m
22,__1505 m,1760 m
23,__1737 m,1979 m
24,__1959 m,2535 m
25,__1513 m,1800 m
26,__1712 m,2197 m
27,__ 1964 m,2260 m
28,__1502 m,1670 m
29,__1825 m,2035 m
30,__667 m,705 m
31,__1753 m,1832 m
