,Nombre
0,Lermoos – Grubigstein
1,Latemar – Obereggen/Pampeago/Predazzo
2,Arosa Lenzerheide
3,Ischgl/Samnaun – Silvretta Arena
4,Ski Juwel Alpbachtal Wildschönau
5,Val Gardena (Gröden)
6,Steinplatte/Winklmoosalm – Waidring/Reit im Winkl
7,Arber
8,Hochoetz – Oetz
9,KitzSki – Kitzbühel/Kirchberg
10,Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm)
11,Wildkogel – Neukirchen/Bramberg
12,Wildkogel – Neukirchen/Bramberg
13,Belpiano (Schöneben)/Malga San Valentino (Haideralm)
14,Almenwelt Lofer
15,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus)
16,Biberwier – Marienberg
17,Sölden
18,Tauplitz – Bad Mitterndorf
19,Gitschberg Jochtal
20,Ofterschwang/Gunzesried – Ofterschwanger Horn
21,Axamer Lizum
22,Schlick 2000 – Fulpmes
23,Scuol – Motta Naluns
24,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale)
25,of Monte Bondone
26,Ladurns
27,Speikboden – Skiworld Ahrntal
28,Sonnenkopf – Klösterle
29,Kitzsteinhorn/Maiskogel – Kaprun
30,Wildhaus – Gamserrugg (Toggenburg)
31,Mönichkirchen/Mariensee
32,Elm im Sernftal
33,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva
34,Paganella – Andalo
35,Ehrwalder Wettersteinbahnen – Ehrwald
36,Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml
37,San Martino di Castrozza
38,Glungezer – Tulfes
39,Folgaria/Fiorentini
40,Klausberg – Skiworld Ahrntal
41,Kristberg – Silbertal
42,Flumserberg
43,Pejo
44,of Rosskopf
45,Gurgl – Obergurgl-Hochgurgl
46,of Pizol below the glacier
47,Hohsaas – Saas-Grund
48,Schilthorn – Mürren/Lauterbrunnen
49,Fichtelberg – Oberwiesenthal
50,SkiWelt Wilder Kaiser-Brixental
51,Serfaus-Fiss-Ladis
52,St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg
53,St. Moritz – Corviglia
54,Schladming – Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4-Berge-Skischaukel)
55,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal)
56,Tignes/Val d'Isère
57,Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel
58,Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm
59,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn
60,Hochkönig – Maria Alm/Dienten/Mühlbach
61,Silvretta Montafon
62,Kronplatz (Plan de Corones)
63,Laax/Flims/Falera
64,Obertauern
65,Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf
66,Schmittenhöhe – Zell am See
67,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch
68,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp
69,Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel
70,Andermatt/Oberalp/Sedrun
71,La Plagne (Paradiski)
72,Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains
73,Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn
74,on the famous Alpe di Siusi (Seiser Alm) guarantees an amazing winter holiday. Europe’s largest mountain pasture
75,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon
76,Les 2 Alpes
77,Titlis – Engelberg
78,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry
79,Alta Badia
80,Turracher Höhe
81,Livigno
82,Katschberg
83,Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa
84,Großglockner Resort Kals-Matrei
85,Damüls Mellau
86,Passo San Pellegrino/Falcade
87,Kleine Scheidegg/Männlichen – Grindelwald/Wengen
88,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre
89,Trysil
90,Parsenn (Davos Klosters)
91,Baqueira/Beret
92,Alpe d'Huez
93,Obersaxen/Mundaun/Val Lumnezia
94,Le Grand Massif – Flaine/Les Carroz/Morillon/Samoëns/Sixt
95,Les Arcs/Peisey-Vallandry (Paradiski)
96,Nassfeld – Hermagor
97,Arabba/Marmolada
98,Großarltal/Dorfgastein
99,Megève/Saint-Gervais
100,Jakobshorn (Davos Klosters)
101,Espace Diamant – Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland
102,Stubai Glacier (Stubaier Gletscher)
103,Zauchensee/Flachauwinkl
104,Corvatsch/Furtschellas
105,Hemsedal
106,Alpe Lusia – Moena/Bellamonte
107,Åre
