,Nombre
0,Baqueira/Beret
1,Formigal
2,La Molina/Masella – Alp2500
3,Sierra Nevada – Pradollano
4,Cerler
5,Panticosa
6,Boí Taüll
7,Espot Esqui
8,Candanchú
9,Astún
10,Port del Comte
11,Valdezcaray
12,Port Ainé
13,La Pinilla
14,Alto Campoo
15,Valgrande Pajares
16,San Isidro-Zona Cebolledo
17,La Covatilla – Sierra de Béjar
18,Valdesquí
19,Puerto Navacerrada
20,Javalambre
21,Fuentes de Invierno
22,Manzaneda
23,Valdelinares (Sierra de Gúdar)
24,Vallter 2000
25,Leitariegos
26,Pleta del Prat – Tavascan
27,Vall de Núria
28,San Isidro-Zona Salencias
29,Rasos de Peguera
30,Madrid Snow Zone
31,Punto de Nieve Santa Inés
