,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
0,27.3,12.8,12.6,1.9,1.7
1,49,9.3,32.8,6.9,
2,225,110,87,28,
3,239,47,143,49,15
4,90.9,25.1,53.1,12.7,16.3
5,178,52,105,21,
6,42,18,22,2,2
7,11.5,4.5,4,3,5
8,37.5,12,21.5,4,3.5
9,181,94,67,20,52
10,25,4,21,0,
11,75,35,30,10,2
12,75,35,30,10,2
13,65,29,30,6,
14,46,32,12,2,
15,270,140,112,18,
16,11,7.3,3.7,0,1.3
17,143,69.5,46.6,27.3,
18,43.5,18.5,19,6,2
19,55,18.5,27.2,9.3,
20,16.5,4.6,9.2,2.7,1.5
21,30,7,21,2,10
22,22,12,6.8,3.2,1.5
23,70,27,32,11,
24,100,24,61,15,
25,18.8,4.8,14,0,2.2
26,18,8.4,8.4,1.2,
27,40,21.6,12.7,5.7,5
28,29.5,12.8,15.9,0.8,4
29,61,29,23,9,10.5
30,23,3,17,3,12
31,13.5,5.5,6,2,
32,40,15,20,5,2
33,150,50,67,33,
34,40,11,27.8,1.2,2
35,23,15,5,3,1.5
36,147,49,87,10.7,3
37,60,16,32,12,
38,23,6.5,15.5,1,
39,74,36.4,32,5.6,
40,33,14,14,5,
41,5,2.5,2.5,0,6
42,65,10,38,17,6
43,20,5,12.8,2.2,
44,20,6,13,1,
45,112,60.2,33.2,18.8,4.5
46,43,15.5,14.4,13.1,
47,34.5,12,21.3,1.2,5
48,54,19,23,12,3
49,15.5,6.8,6.1,2.6,
50,288,126,127,35,
51,198,47,123,28,16
52,302,130,121,51,200
53,155,42,79,34,8
54,123,46.4,68.3,8.3,4
55,85.6,29.7,41.3,14.6,3.4
56,300,170,78,52,20
57,600,312,216,72,50
58,142,44,70,28,8.7
59,322,75,220,27,38
60,120,52,41,27,8
61,118,60,50,8,22
62,119,52,42,25,
63,188,88,81,19,28
64,100,61,35,4,
65,120,34,82.1,4,5
66,77,30,28,19,8
67,86,46,34,6,
68,210,100,77,33,
69,82.7,30.8,49.3,2.6,1.3
70,70,18,40,12,
71,225,139,59,27,
72,250,138,80,32.5,
73,104,42,50,12,15
74,63,15,45,3,
75,412,107,202,103,
76,200,110,56,34,
77,70,18,42.5,9.5,
78,580,310,210,60,
79,130,70,52,8,
80,42,14,24.5,3.5,1
81,115,30,65,20,
82,70,10,50,10,2
83,55.2,7.3,40.7,7.2,
84,44.6,9.5,24.5,10.6,
85,80.6,29.9,48.8,1.9,17.7
86,67.5,20.5,38.5,8.5,1.5
87,102,33,56,13,
88,400,96,220,84,
89,71,33,18,20,
90,95.5,17.3,60.5,17.7,6.3
91,160,80,60,20,5
92,250,70,130,50,
93,120,60,40,20,
94,265,135,95,35,
95,200,104,70,26,
96,110,30,69,11,
97,63,23.6,30.5,8.9,
98,63.2,27.8,34,1.4,9.7
99,263,98,134,31,
100,41.2,25.5,13.2,2.5,13
101,192,132,49,11,
102,65,25,15,25,
103,45,23.5,17.2,4.3,3.5
104,120,13,89.3,17.7,2
105,44.1,29.2,10.8,4.1,1.7
106,27.5,12.9,10.6,4,
107,91,45,38,8,
108,132,29,89,14,5
109,86.4,40.4,37.6,8.4,
110,17.3,9.2,7.5,0.6,
111,51,15,33,3,4
112,43,6,25,12,6
113,72,28,36,8,
114,42,15.5,23,3.5,1
115,40,10,22,8,8
116,137,47,70,20,
117,60,14,35,11,
118,44,33,7,4,
119,88.9,64.3,20.6,4,
120,120,45,59,16,
121,100,20,60,20,5
122,42.5,19.5,9.5,13.5,
123,310,53,239,18.5,
124,49,30,11,8,4
125,44.5,19.2,17.9,7.4,4.5
126,152,68,70,14,5.2
127,34,13,19,2,2
128,18.9,9.1,7,2.8,
129,55,21,28,6,
130,39.9,12,18,9.9,
131,30,19,9,2,
132,39,21.5,12.5,5,
133,42.5,17.5,16,9,
134,35,1.2,23.8,10,2
135,46.9,9.3,26.8,10.8,
136,160,60,85,15,
137,165,115,35,15,7
138,67,23,33,11,6
139,41,17,22,2,
140,185,75,90,20,
141,141,76,47,18,
142,180,56,93.5,30.5,
143,21,4,16,1,
144,48.2,20,24.5,3.7,8.1
145,55,20,17,18,
146,27.5,18.1,7.4,2,
147,17,4.7,11.1,1.2,6.7
148,45,18,15,12,
149,24,10,9,5,
150,50,15,30,5,5
151,29,12.5,12,4.5,
152,125,73,42,10,
153,120,40,60,20,
154,120,46,36,38,
155,21.7,5.6,15,1.1,0.7
156,32.5,20.5,9,3,
157,52,23,28,1,13
158,103,18,77,8,5
159,40,11,26,3,
160,60,20,34,6,
161,125,67,42,16,
162,125,50,50,25,
163,115,26.5,58.6,29.9,
164,20,9,10,1,
165,22.6,12,6.9,3.7,1.2
166,27,6,16,5,
167,34,21,12,1,
168,11.4,5,4.4,2,
169,26.7,13.3,11.9,1.5,17.9
170,42,22,17,3,
171,42,10,18,14,
172,17.1,3.6,10.8,2.7,4
173,28,19,7,2,12
