,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
0,234,57,84,93,
1,88.2,6.7,51.7,29.8,11.9
2,150,28.5,64.5,57,25
3,237,12,114,111,
4,89.8,18.4,48.5,22.9,100
5,153,28,60,65,
6,135,25,65,45,100
7,100,25,45,30,50
8,117,19.9,46.7,50.2,
9,84.8,25.5,30.5,28.8,
10,143,11,53,79,
11,70,20,42,8,
12,94,18,42,34,40
13,250,27,152,71,
14,165,25,95,45,
15,250,55,69,126,100
16,135,24.3,40.5,70.2,
17,100,25,40,35,50
18,126,30,40,56,
19,116,29,46.4,40.6,
20,34,11.9,13.3,8.8,
21,116,16,50,50,
22,103,28,42,33,50
23,121,31.4,69,20.6,
24,135,30,50,55,
25,97,25,45,27,100
26,37,12.8,15.9,8.3,
27,100,15,25,60,25
28,80,30,30,20,20
29,103,27,38,38,
30,92,35,40,17,
31,95,20,40,35,
32,105,40,25,40,
33,90,13.5,45,31.5,
34,92,60,20,12,
35,100,10,60,30,
36,113,27,28,58,
37,103,0,49,54,
38,46.5,12,23,11.5,
39,20,6,13,1,20
40,91,18,46,27,
41,91,18,46,27,
42,100,20,35,45,
43,85,17,38,30,
44,75,40,28,7,
45,87,20,30,37,
46,70,22,26,22,
47,85,15,40,30,
48,66,10,18,38,
49,100,24,45,31,
50,70,11.9,31.5,26.6,
51,30,15,10,5,
52,64,20,30,14,
53,76,15,31,30,
54,71,22,24,25,
55,56,25,16,15,
56,67,17,27,23,
57,65,11,30,24,
58,60,6,46,8,
59,78,13,41,24,
60,68,20,27,21,
61,62,14,31,17,
62,60,12,18,30,
63,71,20,26,25,10
64,58.2,6.7,28.2,23.3,
65,50,11,22,17,
66,65,15,30,20,
67,50,8,27,15,
68,48,5,28,15,
69,45,13,26,6,
70,31,8,15,8,
71,55,12,18,25,
72,55,18,18,19,
73,42,12,20,10,
74,46,20,16,10,
75,37,12,14,11,
76,65,15,15,35,
77,48,16,13,19,
78,35,5,15,15,
79,50,15,25,10,
80,39,6,18,15,20
81,40,8,19,13,
82,52,11,26,15,
83,93,12,38,43,
84,38,5,15,18,
85,30,10,12,8,
86,30.4,5.4,14,11,
87,50,15,25,10,
88,44,15,20,9,
89,50,20,17,13,
90,45,12,12,21,30
91,46,14,17,15,
92,35.7,2.1,12.9,20.7,
93,40,5,25,10,
94,52,13,26,13,
95,50,10,20,20,
96,50,10,20,20,
97,37,7.4,17.4,12.2,
98,43,16,19,8,7
99,30,8,16,6,
100,25,4,8,13,
101,30,6,15,9,
102,27.2,8,11.2,8,
103,31,14,11,6,
104,22.5,4.5,10,8,
105,16,4.7,7.2,4.1,
106,20,10,5,5,
107,34,9,15,10,
108,34,4,20,10,
109,25,5.2,12.1,7.7,
110,30,10,12,8,
111,22,4,8,10,
112,34,20,11,3,
113,25,3.5,16,5.5,
114,29,6,13,10,
115,29,10,12,7,
116,31,5,12,14,
117,18,6,6,6,
118,31,8,14,9,
119,20,5,11,4,
120,24,4,14,6,
121,27.9,5.2,13.7,9,100
122,19.3,5.6,9.5,4.2,
123,31,8,20,3,
124,20,6,10,4,
125,26,7,5,14,
126,31,5,14,12,
127,33,10,8,15,
128,12,3.6,4.8,3.6,
129,25.7,10.3,7.7,7.7,
130,20,6,10,4,
131,23,7,7,9,
132,18,10,6,2,
133,17,2,8,7,
134,27,10,10,7,
135,14,4,7,3,
136,20,6,8,6,
137,25,9,8,8,
138,20,6,11,3,
139,11,2,5,4,
140,26,8,10,8,
141,19,6,9,4,
142,23,4,12,7,
143,20,3,6,11,
144,23,5,8,10,
145,22,4.4,13.2,4.4,
146,20,4,11,5,
147,20,4,6,10,
148,17,6,7,4,
149,20,5,10,5,
150,20,7,6,7,
151,20,6,8,6,
152,10,2,4,4,
153,14,5,5,4,
154,9.5,2.5,4,3,
155,20,6,9,5,
156,25,5,10,10,
157,15,3,5,7,
158,19,9,4,6,
159,20,2,14,4,
160,10,2,4,4,
161,18,4,9,5,
162,16,4,7,5,
163,16,5.6,6.1,4.3,
164,16.5,4.5,6,6,
165,17.8,4.5,4.8,8.5,
166,17,3.4,6.8,6.8,
167,16.5,4.5,9,3,
168,16,5,8,3,
169,17,4,9,4,
170,14,4.5,6,3.5,
171,17,6,6,5,
172,17,6,8,3,
173,9.6,0.5,2.3,6.8,
174,9,3,2.5,3.5,
175,12,4,5,3,
176,18.9,6.2,9,3.7,
177,18,3,7,8,
178,15,5,4,6,
179,15,4,7,4,
180,13,6,4,3,
181,17,3,8,6,
182,15,8,4,3,
183,14,3,7,4,
184,10.2,1.5,5.6,3.1,
185,9,7,2,0,
186,12,4,5,3,
187,13,1,7,5,
188,13,4.5,6,2.5,
189,12,5,4,3,
190,9.1,4.1,2,3,
191,8,2.5,4,1.5,
192,15,6,5,4,
193,11,3,5,3,
194,11,4,5,2,
195,12,2.5,4.5,5,
196,,,,,
197,10,3,3.5,3.5,
198,10,3.5,3.5,3,
199,13,0,3,10,
200,12,6,5.5,0.5,
201,10,3,4,3,
202,14,6,8,0,
203,10.5,3.5,4,3,
204,11.5,5.2,2.8,3.5,
205,10,3,4,3,
206,10.9,3,4.2,3.7,
