,Adults,Youth,Children
0, 49.50 , 39.50 ," 25,-__"
1," 52,- "," 37,-__",
2," 78,- approx. "," 51,- approx. "," 25,-__"
3," 55,- ", 34.50__,
4," 51,- "," 41,- ", 25.50__
5," 64,- "," 43,- "," 43,-__"
6," 50,- "," 38,- "," 26,-__"
7," 36,- "," 34,- "," 26,-__"
8," 44,- ", 35.20 , 24.20__
9, 59.50 ," 44,- ", 29.50__
10," 52,- "," 36,-__",
11, 52.50 ," 42,- ", 25.50__
12, 52.50 ," 42,- ", 25.50__
13," 49,- "," 37,- ", 29.50__
14," 47,- ", 37.50 , 23.50__
15, 60.50 ," 45,- "," 30,-__"
16, 49.50 , 39.50 ," 25,-__"
17," 64,- "," 51,- "," 35,-__"
18," 45,- ", 38.50 ," 23,-__"
19," 54,- "," 38,-__",
20," 43,- ", 33.50 ," 20,-__"
21," 43,- ", 34.50 ," 26,-__"
22," 43,- ", 30.10 , 21.90__
23," 54,- approx. "," 44,- approx. "," 28,-__"
24," 46,- "," 35,- "," 24,-__"
25," 40,- "," 28,- "," 20,-__"
26," 42,- "," 30,-__",
27," 51,- "," 33,-__",
28," 46,- "," 38,- ", 26.50__
29, 60.50 ," 45,- "," 30,-__"
30," 51,- approx. "," 43,- approx. "," 26,-__"
31, 38.50 ," 35,- "," 20,-__"
32," 45,- approx. "," 34,- approx. "," 23,-__"
33," 60,- "," 42,- "," 30,-__"
34," 47,- "," 33,- "," 24,-__"
35, 49.50 , 39.50 ," 25,-__"
36, 59.50 , 47.60 , 26.80__
37," 50,- "," 36,-__",
38," 38,- "," 30,- ", 24.50__
39," 49,- "," 34,- "," 24,-__"
40," 51,- "," 33,-__",
41," 39,- ", 22.50__,
42," 62,- approx. "," 41,- approx. "," 31,-__"
43," 38,- "," 27,- "," 19,-__"
44," 45,- "," 32,-__",
45," 60,- "," 48,- "," 33,-__"
46," 55,- approx. "," 36,- approx. "," 28,-__"
47," 52,- approx. "," 42,- approx. "," 32,-__"
48," 64,- approx. "," 49,- approx. "," 31,-__"
49," 32,- "," 27,-__",
50," 57,- "," 43,- ", 28.50__
51," 56,- "," 48,- "," 34,-__"
52," 61,- "," 55,- ", 36.50__
53,,,
54, 60.50 , 45.50 , 30.50__
55," 61,- ", 49.50 ," 28,-__"
56," 62,- "," 50,-__",
57," 66,- ", 52.80__,
58, 57.50 ," 46,- "," 26,-__"
59," 85,- approx. "," 72,- approx. "," 42,-__"
60, 60.50 , 45.50 , 30.50__
61," 59,- ", 33.90__,
62," 62,- "," 47,- "," 32,-__"
63," 82,- approx. "," 55,- approx. "," 37,-__"
64," 50,- ", 37.50 ," 25,-__"
65,,,
66, 60.50 ," 45,- "," 30,-__"
67," 63,- approx. "," 45,- approx. "," 26,-__"
68," 52,- ", 46.50 , 35.50__
69,,,
70," 82,- approx. "," 58,- approx. "," 42,-__"
71," 55,- "," 44,-__",
72," 54,- ", 43.40__,
73," 61,-__",,
74," 62,- "," 43,- "," 43,-__"
75," 72,- approx. "," 61,- approx. "," 36,-__"
76," 54,- ", 43.50__,
77," 63,- approx. "," 44,- approx. "," 25,-__"
78," 59,- "," 44,- "," 53,-__"
79," 62,- "," 43,-__",
80, 48.50 ," 39,- "," 24,-__"
81," 50,- "," 25,-__",
82," 51,- "," 38,- ", 25.50__
83," 56,- "," 39,-__",
84," 52,- "," 26,-__",
85, 55.50 ," 52,- "," 32,-__"
86," 52,- "," 37,-__",
87," 64,- approx. "," 57,- approx. "," 31,-__"
88, 50.50 ," 10,-__",
89," 54,- approx. "," 43,-__",
90," 67,- approx. "," 47,- approx. "," 27,-__"
91, 54.50 ," 36,-__",
92," 55,- ", 49.50 ," 45,-__"
93," 56,- approx. "," 43,- approx. "," 25,-__"
94, 50.90 , 38.20__,
95," 55,- "," 44,-__",
96," 51,- "," 39,- "," 26,-__"
97," 57,- "," 40,-__",
98, 57.50 ," 43,- "," 29,-__"
99, 50.50 , 40.50__,
100," 64,- approx. "," 44,- approx. "," 26,-__"
101, 42.60 , 34.10__,
102, 53.50 , 34.80 , 26.80__
103,,,
104,,,
105," 54,- approx. "," 43,-__",
106," 52,- "," 37,-__",
107," 58,- approx. "," 47,-__",
108," 47,- "," 42,- "," 34,-__"
109," 59,- ", 41.50__,
110,,,
111, 48.60 , 33.50 , 24.80__
112, 44.50 ," 26,-__",
113," 52,- "," 37,-__",
114, 49.50 , 39.50 ," 25,-__"
115," 47,- "," 39,- "," 29,-__"
116, 49.50 ," 40,-__",
117, 57.50 ," 46,- "," 26,-__"
118," 52,- approx. "," 41,-__",
119," 71,- approx. "," 60,- approx. "," 42,-__"
120," 48,- "," 34,- "," 24,-__"
121," 69,- approx. "," 59,- approx. "," 34,-__"
122," 52,- "," 36,-__",
123, 46.60 , 39.40__,
124," 64,- approx. "," 57,- approx. "," 31,-__"
125,,,
126, 47.50 , 35.50__,
127, 52.50 , 40.50 ," 20,-__"
128, 46.50 ," 39,- ", 29.50__
129," 47,- "," 30,-__",
130," 51,- "," 41,- "," 23,-__"
131," 42,- approx. "," 35,-__",
132," 48,- approx. "," 39,-__",
133," 52,- ", 41.50 ," 26,-__"
134," 46,- approx. "," 38,- approx. "," 26,-__"
135," 44,- ", 35.20 , 24.20__
136," 43,- ", 36.30__,
137, 47.30 , 38.80__,
138," 49,- "," 37,- ", 29.50__
139," 43,- approx. "," 34,-__",
140, 41.50 , 35.30__,
141," 48,- "," 44,- "," 38,-__"
142," 41,- ", 34.50__,
143," 53,- "," 45,- "," 32,-__"
144," 36,- approx. "," 32,- approx. "," 19,-__"
145," 53,- approx. "," 46,- approx. "," 28,-__"
