,Adults,Youth,Children
0,$ 219,- US$ 151,-
1,$ 169,- US$ 96,-
2,$ 218,- US$ 150,-
3,$ 199,- US$ 139,-
4,$ 209,- US$ 171,- US$ 84
5,$ 199,- US$ 129,-
6,$ 176,- US$ 102,-
7,$ 209,- US$ 188,- US$ 146
8,$ 165,- US$ 127,-
9,$ 119,- US$ 89,- US$ 75
10,$ 164,- US$ 119,-
11,$ 149,- US$ 127,-
12,$ 164,- US$ 134,- US$ 90
13,$ 133,- US$ 69,-
14,$ 199,- US$ 139,-
15,$ 194,- US$ 117,-
16,$ 199,- US$ 139,-
17,$ 209,- US$ 188,- US$ 146
18,$ 189,- US$ 129,-
19,$ 125,- US$ 65,-
20,$ 199,- US$ 139,-
21,$ 182,- US$ 164,- US$ 109
22,,,
23,$ 151,- US$ 88,-
24,$ 99,- US$ 55,-
25,$ 170,- US$ 139,- US$ 100
26,$ 115,- US$ 90,- US$ 70
27,$ 169,- US$ 134,- US$ 99
28,,,
29,$ 165,- US$ 83,-
30,$ 165,- US$ 84,-
31,$ 95,- US$ 50,-
32,$ 158,- US$ 49,- US$ 39
33,$ 129,- US$ 119,- US$ 79
34,$ 125,- US$ 100,-
35,$ 74,- US$ 54,-
36,$ 128,- US$ 90,-
37,$ 199,- US$ 139,-
38,$ 115,- US$ 105,- US$ 55
39,,,
40,$ 85,- US$ 73,- US$ 43
41,$ 85,- US$ 73,- US$ 43
42,$ 80,- US$ 41,-
43,$ 119,- US$ 99,-
44,$ 79,- US$ 69,- US$ 59
45,$ 119,- US$ 89,- US$ 76
46,$ 119,- US$ 90,-
47,$ 89,- US$ 70,- US$ 60
48,$ 97,- US$ 58,-
49,$ 68.58 US$ 43.56 US$ 28.73,,
50,$ 125,- US$ 103,- US$ 73
51,$ 84,- US$ 69,-
52,$ 125,- US$ 73,-
53,$ 89,- US$ 69,-
54,$ 59,- US$ 43,-
55,$ 104,- US$ 74,- US$ 59
56,$ 99,- US$ 78,- US$ 39
57,$ 84,- US$ 62,- US$ 35
58,$ 110,- US$ 88,-
59,$ 90,- US$ 68,-
60,$ 62,- US$ 49,-
61,$ 89,- US$ 71,- US$ 45
62,$ 145,- US$ 75,-
63,$ 63,- US$ 40,- US$ 25
64,$ 94,- US$ 70,- US$ 54
65,$ 64,- US$ 49,- US$ 25
66,$ 119,- US$ 107,- US$ 87
67,$ 149,- US$ 128,- US$ 47
68,$ 135,- US$ 65,-
69,$ 104,- US$ 89,-
70,$ 89,- US$ 79,- US$ 59
71,,,
72,$ 91,- US$ 68,-
73,$ 100,- US$ 65,- US$ 45
74,,,
75,$ 99,- US$ 75,-
76,$ 59,- US$ 39,-
77,$ 85,- US$ 66,-
78,$ 110,- US$ 49,-
79,$ 79,- US$ 66,- US$ 57
80,$ 100,- US$ 67,-
81,$ 84,- US$ 69,-
82,$ 129,- US$ 79,-
83,$ 89,- US$ 35,-
84,$ 79,- US$ 69,- US$ 39
85,,,
86,$ 85,- US$ 65,-
87,$ 46,- US$ 36,-
88,$ 85,- US$ 58,-
89,,,
90,$ 49,- US$ 26,-
91,$ 92,- US$ 74,-
92,$ 129,- US$ 106,-
93,,,
94,$ 79,- US$ 69,- US$ 39
95,,,
96,$ 78,- US$ 59,- US$ 28
