,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
0, 2021-11-19,2022-04-24__, mid November,mid April__, 08:30,16:00__
1, 2021-11-25,2022-04-17__, mid November,mid April__, 09:00,16:00__
2, 2021-11-24,2022-04-18__, mid November,mid April__, 09:00,15:30__
3, 2021-11-25,2022-04-17__, late November,mid April__, 08:30,15:30__
4, 2021-11-12,2022-05-29__, early November,early June__, 08:30,16:00__
5, 2021-11-12,2022-05-29__, early November,mid April__, 08:30,16:00__
6, 2021-10-30,2022-04-18__, early November,mid April__, 09:00,16:00__
7, 2021-11-25,2022-05-15__, mid November,late May__, 09:00,16:00__
8, 2021-11-19,2022-05-29__, late October,late May__, 09:00,16:00__
9, 2021-11-20,2022-04-24__, early November,late April__, 08:30,16:00__
10, 2021-11-20,2022-04-24__, mid November,late April__, 09:00,16:00__
11, 2021-11-25,2022-04-18__, late November,early April__, 08:00,16:00__Limited opening times during the week__
12, 2021-11-19,2022-04-24__, mid November,mid April__, 09:00,16:00__
13, 2021-11-19,2022-04-18__, mid November,early April__, 09:00,16:00__
14, 2021-12-03,2022-04-18__, late November,mid April__, 08:30,16:00__
15, 2021-11-25,2022-04-24__, late November,mid April__, 09:00,16:00__
16, 2021-12-11,2022-04-10__, mid December,mid April__, 09:00,15:30__
17, 2021-11-20,2022-05-08__, mid November,mid May__, 09:00,16:00__
18, 2021-11-13,2022-04-24__, early November,late April__, 08:30,16:00__
19, 2021-11-20,2022-04-24__, late November,mid April__, 09:15,16:30__
20, 2021-12-11,2022-04-03__, early December,early April__, 09:00,15:30__
21, 2021-11-25,2022-04-18__, early December,early April__, 09:00,16:00__
22, 2021-12-04,2022-04-18__, early December,mid April__, 09:00,16:15__
23,,, late November,early April__, 09:00,16:00__
24, 2021-12-11,2022-04-18__, depending on snow conditions,early April__, 09:00,21:00__
25, 2021-11-20,2022-04-24__, mid November,mid April__, 09:00,16:00__
26, 2021-12-03,2022-04-17__, late November,mid April__, 08:30,16:00__Limited opening times during the week__
27, 2021-11-20,2022-05-29__, late November,late May__, 09:00,16:00__
28,,, late November,mid April__, 09:00,16:00__
29, 2021-11-20,2022-05-29__, mid November,mid May__, 09:00,16:00__
30,,,,,,
31, 2021-11-20,2022-04-18__, late November,early April__, 09:00,16:00__
32, 2021-10-30,2022-06-05__, late October,early June__, 09:00,16:00__
33, 2021-11-20,2022-05-01__, mid November,late April__, 09:00,21:00__
34,,, mid November,early April__, 09:00,16:00__
35,,, late November,mid April__, 09:00,16:00__
36, 2021-12-03,2022-04-18__, late November,early April__, 09:00,16:00__
37, 2021-11-25,2022-04-17__, late November,mid April__, 09:00,15:30__
38, 2021-11-24,2022-04-18__, early December,mid April__, 08:30,16:00__Limited opening times during the week__
39,,, early December,mid April__, 09:00,16:00__
40, 2021-12-04,2022-04-18__, early December,early April__, 09:00,16:00__
41, 2021-12-04,2022-04-18__, early December,early April__, 09:00,16:00__
42, 2021-10-30,2022-04-17__, depending on snow conditions,early April__, 08:30,16:00__
43,,, late November,early April__, 09:00,16:00__
44,,, early December,late March__, 09:00,16:00__
45, 2021-11-20,2022-04-24__, late November,late April__, 08:00,15:50__
46, 2021-11-25,2022-04-18__, late November,mid April__, 09:00,16:00__
47,,, late November,early April__, 09:00,16:00__
48,,, mid November,mid April__, 09:00,16:00__
49, 2021-11-19,2022-05-01__, early November,early May__, 09:00,15:30__
50,,, late November,mid April__, 09:00,16:00__
51,,, early December,early April__, 09:00,16:00__
52, 2021-11-27,2022-04-24__, mid November,mid April__, 09:00,16:00__
53,,,,, 08:30,16:00__
54,,, mid November,mid April__, 10:00,16:00__
55,,, mid November,mid April__, 09:00,16:00__
56,,, mid December,early April__, 09:00,16:00__
57,,, late November,early April__, 09:00,16:00__
58,,, late November,early April__, 08:00,16:00__Limited opening times during the week__
59, 2021-11-25,2022-04-18__, late November,early April__, 09:00,16:00__
60,,,,,,
61, 2021-12-11,2022-04-24__, late November,late April__, 10:30,16:00__
62, 2021-11-20,2022-04-24__, mid November,late April__, 09:00,16:00__
63, 2021-12-16,2022-04-03__, early December,mid April__, 09:00,16:00__
64,,, late November,mid April__, 08:30,16:00__
65,,,,, 10:00,22:00__
66, 2021-12-03,2022-04-18__, late November,late April__, 09:00,16:00__
67, 2021-11-19,2022-05-15__, mid November,early May__, 09:00,16:00__
68,,, mid November,mid April__, 09:00,16:00__
69, 2021-11-20,2022-04-18__, mid November,mid April__, 08:00,16:00__Limited opening times during the week__
70, 2021-10-29,2022-09-04__, early November,late September__, 09:00,16:00__
71,,,,,,
72,,,,, 08:30,16:00__
73, 2021-11-26,2022-04-03__, early December,early April__, 09:00,16:00__
74,,,,,,
75,,,,, 09:00,16:00__
76,,, mid November,mid April__, 09:00,22:00__Limited opening times during the week__
77,,,,, 08:30,22:00__
78, 2021-11-19,2022-04-18__, late November,early April__, 09:00,16:00__
79,,,,, 08:30,16:30__
80,,, early December,mid April__, 09:00,22:00__
81,,,,, 09:00,16:00__Limited opening times during the week__
82,,, late November,early April__, 09:00,16:00__
83, 2021-10-30,2022-05-08__, early October,early May__, 09:00,16:00__
84,,, late November,early April__, 10:00,17:00__
85,,,,,,
