,Name,Continent,Country,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
0,Lermoos   Grubigstein,Europe, Austria,1004,2100,27.3,12.8,12.6,1.9,1.7,8.0,49.5, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:30
2,Arosa Lenzerheide,Europe, Switzerland,1229,2865,225.0,110.0,87.0,28.0,,43.0,78.0, 2021-10-30,2022-04-18, early November,mid April, 08:30,16:30
4,Ski Juwel Alpbachtal Wildschönau,Europe, Austria,830,2025,90.9,25.1,53.1,12.7,16.3,46.0,51.0, 2021-12-03,2022-04-18, mid December,mid April, 08:30,16:00
5,Val Gardena (Gröden),Europe, Italia,1236,2518,178.0,52.0,105.0,21.0,,79.0,64.0, 2021-12-04,2022-04-10, early December,mid April, 08:30,16:30
7,Arber,Europe, Deutschland,1050,1456,11.5,4.5,4.0,3.0,5.0,6.0,36.0, 2021-12-11,2022-03-27, mid December,late March, 08:30,16:00
8,Hochoetz   Oetz,Europe, Austria,1410,2272,37.5,12.0,21.5,4.0,3.5,13.0,44.0,,, early December,mid April, 08:45,16:30
11,Wildkogel   Neukirchen/Bramberg,Europe, Austria,820,2150,75.0,35.0,30.0,10.0,2.0,20.0,52.5, 2021-12-10,2022-04-22, mid December,mid April, 08:30,16:30
13,Almenwelt Lofer,Europe, Austria,640,1670,46.0,32.0,12.0,2.0,,10.0,47.0, 2021-12-04,2022-04-03, early December,mid April, 08:30,16:00
15,Biberwier   Marienberg,Europe, Austria,1000,1820,11.0,7.3,3.7,0.0,1.3,5.0,49.5, 2021-12-18,2022-03-27, mid December,late March, 08:30,16:30
16,Sölden,Europe, Austria,1350,3340,143.0,69.5,46.6,27.3,,31.0,64.0, 2021-09-10,2022-05-08, late September,early May, 09:00,16:00
17,Tauplitz   Bad Mitterndorf,Europe, Austria,896,1965,43.5,18.5,19.0,6.0,2.0,17.0,45.0, 2021-11-27,2022-04-18, early December,mid April, 09:00,16:00
18,Gitschberg Jochtal,Europe, Italia,1307,2510,55.0,18.5,27.2,9.3,,15.0,54.0, 2021-12-04,2022-04-18, early December,early April, 08:30,16:30
20,Axamer Lizum,Europe, Austria,1580,2340,30.0,7.0,21.0,2.0,10.0,10.0,43.0, 2021-12-03,2022-04-18, late November,early April, 08:30,16:00
21,Schlick 2000   Fulpmes,Europe, Austria,1009,2240,22.0,12.0,6.8,3.2,1.5,9.0,43.0, 2021-11-27,2022-04-18, depending on snow conditions,early April, 08:30,16:30
22,Scuol   Motta Naluns,Europe, Switzerland,1250,2785,70.0,27.0,32.0,11.0,,10.0,54.0, 2021-12-11,2022-04-18, mid December,mid April, 08:45,16:00
24,of Monte Bondone,Europe, Italia,1189,2090,18.8,4.8,14.0,0.0,2.2,4.0,40.0, 2021-12-04,2022-04-18, mid December,mid April, 08:45,16:45
25,Ladurns,Europe, Italia,1140,2030,18.0,8.4,8.4,1.2,,4.0,42.0, 2021-12-18,2022-04-18, early December,mid April, 08:30,16:30
27,Sonnenkopf   Klösterle,Europe, Austria,1000,2300,29.5,12.8,15.9,0.8,4.0,9.0,46.0, 2021-12-11,2022-04-18, depending on snow conditions,mid April, 08:45,16:00
30,Mönichkirchen/Mariensee,Europe, Austria,865,1432,13.5,5.5,6.0,2.0,,5.0,38.5, 2021-12-08,2022-03-27, depending on snow conditions,late March, 09:00,16:00
31,Elm im Sernftal,Europe, Switzerland,1020,2105,40.0,15.0,20.0,5.0,2.0,5.0,45.0, 2021-12-11,2022-04-18, mid December,late March, 08:30,17:00
33,Paganella   Andalo,Europe, Italia,1040,2125,40.0,11.0,27.8,1.2,2.0,14.0,47.0, 2021-11-27,2022-04-18, late November,early April, 08:30,16:00
36,San Martino di Castrozza,Europe, Italia,1404,2357,60.0,16.0,32.0,12.0,,21.0,50.0, 2021-11-27,2022-04-18, mid November,mid April, 09:00,16:00
