,Name,Continent,Country,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
0,Lermoos   Grubigstein,Europe, Austria,1004,2100,27.3,12.8,12.6,1.9,1.7,8.0,49.5, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:30
1,Latemar   Obereggen/Pampeago/Predazzo,Europe,error,1540,2388,49.0,9.3,32.8,6.9,,18.0,52.0, 2021-11-26,2022-04-18, late November,late April, 08:30,16:30
2,Arosa Lenzerheide,Europe, Switzerland,1229,2865,225.0,110.0,87.0,28.0,,43.0,78.0, 2021-10-30,2022-04-18, early November,mid April, 08:30,16:30
3,Ischgl/Samnaun   Silvretta Arena,Europe,error,1360,2872,239.0,47.0,143.0,49.0,15.0,41.0,55.0, 2021-11-25,2022-05-01, late November,early May, 08:30,16:00
4,Ski Juwel Alpbachtal Wildschönau,Europe, Austria,830,2025,90.9,25.1,53.1,12.7,16.3,46.0,51.0, 2021-12-03,2022-04-18, mid December,mid April, 08:30,16:00
5,Val Gardena (Gröden),Europe, Italia,1236,2518,178.0,52.0,105.0,21.0,,79.0,64.0, 2021-12-04,2022-04-10, early December,mid April, 08:30,16:30
6,Steinplatte/Winklmoosalm   Waidring/Reit im Winkl,Europe,error,740,1860,42.0,18.0,22.0,2.0,2.0,14.0,50.0, 2021-12-04,2022-04-18, late November,early April, 08:30,16:30
7,Arber,Europe, Deutschland,1050,1456,11.5,4.5,4.0,3.0,5.0,6.0,36.0, 2021-12-11,2022-03-27, mid December,late March, 08:30,16:00
8,Hochoetz   Oetz,Europe, Austria,1410,2272,37.5,12.0,21.5,4.0,3.5,13.0,44.0,,, early December,mid April, 08:45,16:30
9,KitzSki   Kitzbühel/Kirchberg,Europe,error,800,2000,181.0,94.0,67.0,20.0,52.0,57.0,59.5, 2021-10-30,2022-04-24, mid October,early May, 08:30,16:30
10,Racines Giovo (Ratschings Jaufen)/Malga Calice (Kalcheralm),Europe,error,1300,2100,25.0,4.0,21.0,0.0,,8.0,52.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,16:15
11,Wildkogel   Neukirchen/Bramberg,Europe, Austria,820,2150,75.0,35.0,30.0,10.0,2.0,20.0,52.5, 2021-12-10,2022-04-22, mid December,mid April, 08:30,16:30
13,Belpiano (Schöneben)/Malga San Valentino (Haideralm),Europe,error,1460,2390,65.0,29.0,30.0,6.0,,10.0,49.0, 2021-12-08,2022-04-23, early December,mid April, 08:30,16:15
14,Almenwelt Lofer,Europe, Austria,640,1670,46.0,32.0,12.0,2.0,,10.0,47.0, 2021-12-04,2022-04-03, early December,mid April, 08:30,16:00
15,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,error,830,2096,270.0,140.0,112.0,18.0,,70.0,60.5, 2021-11-26,2022-04-18, late November,mid April, 08:00,16:30
16,Biberwier   Marienberg,Europe, Austria,1000,1820,11.0,7.3,3.7,0.0,1.3,5.0,49.5, 2021-12-18,2022-03-27, mid December,late March, 08:30,16:30
17,Sölden,Europe, Austria,1350,3340,143.0,69.5,46.6,27.3,,31.0,64.0, 2021-09-10,2022-05-08, late September,early May, 09:00,16:00
18,Tauplitz   Bad Mitterndorf,Europe, Austria,896,1965,43.5,18.5,19.0,6.0,2.0,17.0,45.0, 2021-11-27,2022-04-18, early December,mid April, 09:00,16:00
19,Gitschberg Jochtal,Europe, Italia,1307,2510,55.0,18.5,27.2,9.3,,15.0,54.0, 2021-12-04,2022-04-18, early December,early April, 08:30,16:30
20,Ofterschwang/Gunzesried   Ofterschwanger Horn,Europe,error,880,1405,16.5,4.6,9.2,2.7,1.5,7.0,43.0, 2021-12-11,2022-04-03, depending on snow conditions,early April, 08:30,16:00
21,Axamer Lizum,Europe, Austria,1580,2340,30.0,7.0,21.0,2.0,10.0,10.0,43.0, 2021-12-03,2022-04-18, late November,early April, 08:30,16:00
22,Schlick 2000   Fulpmes,Europe, Austria,1009,2240,22.0,12.0,6.8,3.2,1.5,9.0,43.0, 2021-11-27,2022-04-18, depending on snow conditions,early April, 08:30,16:30
23,Scuol   Motta Naluns,Europe, Switzerland,1250,2785,70.0,27.0,32.0,11.0,,10.0,54.0, 2021-12-11,2022-04-18, mid December,mid April, 08:45,16:00
24,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno Tonale),Europe,error,1121,3000,100.0,24.0,61.0,15.0,,28.0,46.0, 2021-11-06,2022-04-24, late November,early May, 08:30,16:30
25,of Monte Bondone,Europe, Italia,1189,2090,18.8,4.8,14.0,0.0,2.2,4.0,40.0, 2021-12-04,2022-04-18, mid December,mid April, 08:45,16:45
26,Ladurns,Europe, Italia,1140,2030,18.0,8.4,8.4,1.2,,4.0,42.0, 2021-12-18,2022-04-18, early December,mid April, 08:30,16:30
27,Speikboden   Skiworld Ahrntal,Europe,error,950,2400,40.0,21.6,12.7,5.7,5.0,8.0,51.0, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:00
28,Sonnenkopf   Klösterle,Europe, Austria,1000,2300,29.5,12.8,15.9,0.8,4.0,9.0,46.0, 2021-12-11,2022-04-18, depending on snow conditions,mid April, 08:45,16:00
29,Kitzsteinhorn/Maiskogel   Kaprun,Europe,error,768,3029,61.0,29.0,23.0,9.0,10.5,21.0,60.5, 2021-10-09,2022-07-23, mid October,early July, 08:15,16:15
30,Wildhaus   Gamserrugg (Toggenburg),Europe,error,1020,2076,23.0,3.0,17.0,3.0,12.0,6.0,51.0, 2021-12-11,2022-04-18, mid December,early April, 08:30,16:30
31,Mönichkirchen/Mariensee,Europe, Austria,865,1432,13.5,5.5,6.0,2.0,,5.0,38.5, 2021-12-08,2022-03-27, depending on snow conditions,late March, 09:00,16:00
32,Elm im Sernftal,Europe, Switzerland,1020,2105,40.0,15.0,20.0,5.0,2.0,5.0,45.0, 2021-12-11,2022-04-18, mid December,late March, 08:30,17:00
